neg_words,value
aroundguess,-1.1215429694892158
upsetting,-1.121404466268608
funeral,-1.1213861906020923
phoneswhich,-1.1213527821101446
properlyat,-1.1213514515758674
corrected,-1.108485854271934
pushed,-1.1073435157680018
aka,-1.1003899017002758
buts,-1.10026461087693
devicesbewarei,-1.100032400141471
warns,-1.0998798885426473
itconswhat,-1.0998675651347005
verizonyour,-1.099861055877978
onepros,-1.099813585637964
studied,-1.0998049851496872
seemsmost,-1.0997710191080912
sciencethis,-1.0997410192996793
public,-1.0997376163838815
reflection,-1.0997238375377814
wiped,-1.094630104913711
steep,-1.093469895842739
intervals,-1.0898673155007685
thisso,-1.0897316657266487
seemingly,-1.0897245283042993
overheatingstay,-1.0897221388013827
secondsnow,-1.0897186047884035
hoped,-1.0839505673471774
breaks,-1.0691672930346792
blocks,-1.0682945896053466
copypaste,-1.0681717084051088
doim,-1.0680792215305666
halfduplex,-1.0678429146767088
unread,-1.0678098664987739
locate,-1.0677718723134018
station,-1.0677443913469158
nyc,-1.0677269635340814
spinning,-1.067719317172686
reappear,-1.0677063924725416
rhyme,-1.0677025159631686
paranoid,-1.0593798629200954
rushed,-1.0505280741492435
arising,-1.047344605508181
buffered,-1.047319094381862
clicked,-1.04729391693647
combined,-1.047193688010056
applaud,-1.0342185480524055
daysso,-1.0338854087419256
daysyou,-1.033751574546296
dosoif,-1.0336316262379295
valid,-1.033476857411757
thirty,-1.0334348576219798
fifteen,-1.033419612049611
supportthe,-1.0334048395061977
submitting,-1.0333705214117124
submitted,-1.0333320055738524
fixedmorals,-1.0333287286944737
spam,-1.0332817550563633
forwarded,-1.033245773464388
satisfies,-1.0332399985024032
grand,-1.03318128884632
happenhere,-1.033128823849968
repairthe,-1.0331139527438584
hoursi,-1.0330905086258695
reformat,-1.0330779807782389
infrastructure,-1.0330608259509948
phoneok,-1.0330579657429053
knowledgable,-1.033047234777232
path,-1.0330410392277893
bubbles,-1.0326673557441444
feedback,-1.0325870837157614
kindly,-1.0325383473695289
onceamazon,-1.0325082007206694
reapplied,-1.0324904562062223
reasonsmy,-1.0324888273041675
americaits,-1.0298971722188401
disclose,-1.0297903759684097
distributing,-1.0297076571341381
etcit,-1.0296230393194827
traced,-1.0295651113178204
forworst,-1.0295632526483358
targetted,-1.0295553548950969
reacting,-1.0295195101255639
manufactured,-1.0295157781224926
problemslesson,-1.0295050242410613
noises,-1.024465234085587
savings,-1.0226995532666894
economy,-1.0211676238192844
repeatedly,-1.019733568318723
retrieve,-1.0197190107737122
allover,-1.0191638052699252
comewhen,-1.01909212266842
instance,-1.0189259108657653
messagessomething,-1.0188931461260597
programmed,-1.018888591298217
sellerfive,-1.018885395709694
tip,-1.0188800245033673
mistakes,-1.0182103805080733
newly,-1.0145149552771067
creating,-1.013658232350373
unreliable,-1.0134611208901052
fingerprint,-1.0099222739386513
macro,-1.0096776521657298
checking,-0.9949100111951691
centers,-0.9948194632299936
eastern,-0.99459440675067
england,-0.9945014971230166
forgotten,-0.99441067790999
unregion,-0.994406304078532
geeksquad,-0.9943634883963246
reactivation,-0.994323512556561
minumum,-0.9943220106009175
