neg_words,value
funny,-23.55644080442154
chamber,-23.540937927743038
noticeably,-23.510156408313463
fluke,-23.499052798263424
elseshe,-23.431186808095124
conformed,-23.424654070113416
satisfiedmakes,-23.292653622464478
giant,-23.134971811899252
aint,-23.11205727313489
qwert,-23.09713662907938
discharges,-23.048513834188743
it됛챪,-23.042485295051783
aparently,-22.97083873067968
distorting,-22.898244644365096
geek,-22.884288684063048
back,-22.812292219994305
tagged,-22.803505723479258
bin,-22.7143433575401
appeared,-22.69457321752938
certified,-22.661665580626455
extreme,-22.631704618905243
immersive,-22.566285337567635
cvmodevjltylqs,-22.55599546098674
chinesse,-22.55366768409623
asks,-22.47727005798306
maximumspeed,-22.44780694312164
instantlyconnected,-22.435242219092242
acted,-22.407658459592646
featureslooking,-22.39740274704985
dings,-22.36116848753597
doesn됛챫,-22.324172489830385
win,-22.245690762775368
dustbin,-22.092271833312644
barometer,-22.084011497056803
dragondevscom,-22.08149097845094
pull,-22.05966991142313
bandwitch,-22.002848313074136
nba,-22.000215322896917
incremental,-21.96622000284268
crackedi,-21.9640135098055
expectedyou,-21.963036703028298
everytime,-21.907209333455924
whereever,-21.86261188897749
grudge,-21.770247347780327
you됛챭e,-21.732778916148245
creator,-21.7198982920063
flair,-21.718135138708043
marca,-21.690682384362923
frustrations,-21.64084003809169
hopelessly,-21.5935620250283
accidentally,-21.590876755776325
availablefunction,-21.571795143330924
netflix,-21.549490048958035
levelthe,-21.540155522132288
eager,-21.53237277810422
verify,-21.50104523552626
tabletsizedi,-21.451803654599335
describing,-21.384512516568773
entire,-21.37284299005843
twodays,-21.332364212764755
whistle,-21.33229788839322
overprocessing,-21.327507573044965
cat,-21.2640472448079
automatic,-21.26154589949375
nfcgps,-21.174206786434468
ativities,-21.11068051602348
apples,-21.10443980950494
callsecondary,-21.04909110940947
craziest,-21.04835807994139
kona,-21.045998690732855
appsive,-21.014141606928987
lightness,-20.92005440333893
bestno,-20.816037340047693
characteristic,-20.70334765144324
fly,-20.684590503689634
slowoverall,-20.598794029491767
approve,-20.589820696248747
facial,-20.55597792059127
backwardthe,-20.549041954494047
nurses,-20.53402224999623
exchanging,-20.480285296585066
defect,-20.476748528710235
anger,-20.44574947700283
itselfso,-20.425114058801874
credit,-20.40941297515974
multidirectional,-20.384281053506427
estos,-20.375077511962914
concludes,-20.355652506666267
advantage,-20.336463972110714
awaythe,-20.245776061483554
dishonest,-20.23421753163662
slipped,-20.216371049150077
answered,-20.211003991814522
preoccupied,-20.19982844633958
preview,-20.184138745541667
camerait,-20.095201259462623
dumbest,-20.07207109420931
flicking,-20.046025385086477
alao,-20.033000504702905
foot,-19.993076570003993
connections,-19.987916477056164
rhyme,-19.969389168857457
atvpdkikxder,-19.93862298779656
alreadyi,-19.911940287942613
blanks,-19.89640420196796
dat,-19.84156605260389
disappointedbecause,-19.809890176702197
oses,-19.74313337978404
cellular,-19.74241771773807
literally,-19.719153505085238
carateristics,-19.680653585495484
concrete,-19.667507067464754
phonewell,-19.636514793730022
doodling,-19.618950304891044
conditioni,-19.559779641715604
typically,-19.491159434718035
agreement,-19.48853177919255
facing,-19.433340699800024
pixelation,-19.409431805150184
pinki,-19.39861171481001
activate,-19.35930092950955
audiovideoi,-19.341917180286345
measly,-19.32623857065959
fastscreen,-19.228609564871807
beginning,-19.200918852011082
floating,-19.140526364830293
farall,-19.05962067057165
lug,-19.033919706249375
calls,-19.02959993580468
existence,-18.99240796343948
gigabytes,-18.975752094068902
understanding,-18.972366655020696
damn,-18.961311754172172
lowmid,-18.922262152577197
farit,-18.865447141964097
carrydo,-18.86467272126884
ecstatic,-18.843164087600133
proper,-18.792779420813716
anew,-18.778039384016086
cameraand,-18.776438435349682
glory,-18.7621724789185
