neg_words,value
died,-0.9384769152909469
damage,-0.8946266703609893
stores,-0.8913839686623964
nonintuitive,-0.8786936376356888
solve,-0.8724457318238125
intuitively,-0.8443902595920888
fix,-0.8354605519008899
sprint,-0.828443145881772
leastto,-0.8282303014604026
happen,-0.7932887076541004
locked,-0.791483682229071
contact,-0.7866224133715364
resolve,-0.7649807596822794
reallylike,-0.7605824380436593
hour,-0.7596994279666457
imessage,-0.7421443020823326
network,-0.7403544806643977
dollars,-0.7303794365810043
respond,-0.7303334242196194
faulty,-0.718581683387311
poor,-0.7159565884963445
began,-0.7052805604581044
ridiculous,-0.6955740866426757
annoying,-0.6591305412505906
pain,-0.6581449143770829
phoning,-0.656914565117681
open,-0.6563951949960326
manufactures,-0.6446926166509135
weeks,-0.6361516959652379
wasa,-0.6333205309273944
frustrated,-0.6262425727472889
earphones,-0.6229625408752514
couldnt,-0.6203217902877678
week,-0.6155742915563259
directions,-0.6091051879235834
europeans,-0.6050601433192098
hear,-0.5906923119749954
defective,-0.5711826676665397
seller,-0.5708030814947885
called,-0.5638314836665816
appeared,-0.5548132767308508
realized,-0.5518341760470536
threw,-0.5420511241558567
apple,-0.5404318806611864
borrowing,-0.530378032408878
gasket,-0.5094608868253564
wont,-0.50520279391834
company,-0.5004710013388044
connect,-0.49599920630523603
piece,-0.4881392697270105
country,-0.48679108597806686
plugged,-0.4842309624608037
reply,-0.4806531442662991
discharges,-0.4765073680216057
charging,-0.4741724815371346
hate,-0.4648748188853852
solution,-0.46445861461451265
recognize,-0.46265343765976724
unable,-0.4517641583712148
battery,-0.4407130204407016
respect,-0.43843469688708137
seconds,-0.4314453558199921
batteries,-0.4297424584601383
captivate,-0.4243546853502859
press,-0.41947137918493227
disappointing,-0.4136495907830618
report,-0.41022219935625237
store,-0.40935004524495644
verify,-0.4048508748644451
selling,-0.3931700469498947
star,-0.3885931825394643
selection,-0.3822549903340437
code,-0.36491348588710154
shuts,-0.35300086462117153
apparently,-0.34839707629310634
encountered,-0.34755151559243863
government,-0.33864623592947263
folks,-0.33620540427242074
receipt,-0.3327090851298945
sticks,-0.32470623440460694
advertises,-0.3153572010492839
didnt,-0.3110552191539056
calibration,-0.3059945996186283
boot,-0.29628122347916536
frustrating,-0.28097022349949746
generic,-0.280639323320584
porque,-0.2782795207646356
giving,-0.2768557329951174
scam,-0.27646087599179353
gray,-0.27478155238991475
randomly,-0.2596954453514427
black,-0.25376158893625345
visuals,-0.25306115977864846
process,-0.25226821903200736
error,-0.25063789884516485
talked,-0.24791537720367218
tel磬fono,-0.2456337639999799
cannibalize,-0.24491148032773868
policy,-0.23593983688998557
night,-0.23102035934773707
stuck,-0.2300174494248798
oni,-0.22790657180840568
sign,-0.22143547088199014
junk,-0.21939243985256585
notthe,-0.21295774722335914
grainy,-0.21163338734045092
problemsit,-0.20283386309773743
suck,-0.19945085301755455
disappointedi,-0.18979755962243605
sold,-0.18114522484843543
wasted,-0.1810186825993972
month,-0.18039635483137917
dated,-0.17646892518369592
cheating,-0.17258005640511567
loop,-0.17120269821039896
incapble,-0.17069023330466543
alao,-0.16804858231936373
suppose,-0.16791675750812016
dissapointing,-0.16146014353635973
tracked,-0.15532528476875015
lemon,-0.15496014724714322
matter,-0.14988612393965572
glitching,-0.14825580924181853
positive,-0.14771710171036986
nimble,-0.143737726556776
manufacturing,-0.13860423353208953
deari,-0.1355706110120752
completely,-0.1288836836569423
signal,-0.12767407987399884
(Intercept),-0.12324403920026956
goodbut,-0.11670729625115032
trash,-0.11343585153650715
total,-0.11319319142859363
court,-0.10846918831518189
dissapointed,-0.10076998205464242
floor,-0.09551182960320673
repair,-0.09484166187824855
places,-0.08749102383979762
dating,-0.08429097720760007
items,-0.08160943688393373
service,-0.07234458439479864
featuresthe,-0.07031906744117525
load,-0.06890139275288351
provider,-0.06590837766910075
spirit,-0.062191564732691856
fpr,-0.05704493682152343
disgusted,-0.056273266186934165
crashed,-0.05524669675598394
freezing,-0.045470273568069396
provide,-0.04420868574163351
relie,-0.04360215786997475
tonight,-0.04287705371812215
cheated,-0.04194471509127695
refurbish,-0.03984522115998749
defected,-0.03971738071461141
recorded,-0.03834394805605252
drains,-0.032897013652411634
understand,-0.031793045922222235
scrached,-0.031664982206968555
oversize,-0.03147448671902735
youd,-0.017264427792907128
gamesnot,-0.013158992027426052
recieved,-0.01012181049726334
newthe,-0.00954220509791927
cord,-0.009524728447368128
orderit,-0.00751493080894776
unlocked,-0.006549613393143772
blames,-0.00583952763507059
partyi,-0.005050591984953317
april,-0.004548713170733135
messages,-0.0033175217811901316
chage,-0.0024485747928717993
gamesto,-0.0023996593518437774
politely,-0.0019833065164320436
screenwhy,-0.0019699347847616164
originalthat,-0.0012215440360653141
breakdown,-7.915662200782923e-4
writing,-5.488898205816554e-4
fixe,-1.492042739457424e-4
