custid,ct_dairy,ct_drink,ct_fastfood,ct_fruite,ct_house_prod,ct_makeup,ct_meat,ct_sauce,ct_seafood,ct_snack,ct_vegetable,coverage,g_paid,buyed_prod_num,hf_6-11,hf_12-17,hf_18-23,wdf_Sun,wdf_Mon,wdf_Tue,wdf_Wed,wdf_Thu,wdf_Fri,wdf_Sat,n_distinct(prod),ct_cov,vdays,day_mean_amt,day_cov,first_cnt.prod,second_cnt.prod,third_cnt.prod,first_money.prod_ct,second_money.prod_ct,third_money.prod_ct
C1321,0.03,0.04,0.24,0.02,0.03,0,0.28,0.07,0.14,0.1,0.04,1,337550,64,0.2,0.29,0.5,0.2,0.05,0.16,0.15,0.26,0,0.19,31,0.9750043789184203,46,7338.04347826087,0.8248401819610711,bottledfoods,otherreadymadefoods,beans,meat,fastfood,seafood
C1322,0.06,0.1,0.37,0,0,0,0,0,0,0.45,0.03,0.45,53150,15,0.16,0.12,0.72,0.12,0,0.57,0.15,0.07,0.08,0,9,1.6910808222090254,11,4831.818181818182,0.6881975239266357,harddrinks,ready-madesnacks,otherbeverages,snack,fastfood,drink
C1323,0.24,0.16,0,0.54,0,0,0,0,0,0,0.06,0.36,62760,7,0,1,0,1,0,0,0,0,0,0,7,1.7717998447758037,1,62760,0,beans,chilleddairymilks,eidbleherbs,fruite,dairy,drink
C1324,0,0,0,0,0,0,0,0,0,1,0,0.09,2990,1,0,1,0,0,0,0,1,0,0,0,1,3.162277660168379,1,2990,0,pre-processedsnacks,NA,NA,snack,NA,NA
C1325,0.06,0.03,0.15,0.35,0.02,0,0.18,0,0,0.16,0.05,0.73,94530,25,0.03,0.46,0.52,0.13,0.1,0.05,0.16,0.38,0.14,0.03,17,1.163849160524398,15,6302,0.6581446990622186,cooky/cakes,banana/importedfruits,apple/sweetmelon,fruite,meat,snack
C1326,0,0,0,0,0,0.88,0,0,0,0,0.12,0.18,10190,2,0.88,0,0.12,0,0,0,0.12,0,0,0.88,2,2.7804400693122577,2,5095,1.083906567432176,cosmetics,mushrooms,NA,makeup,vegetable,NA
C1327,0.47,0,0,0,0,0,0,0,0,0.53,0,0.18,3730,4,1,0,0,0,0,0,0,0,1,0,4,2.127135935017762,1,3730,0,cooky/cakes,icecream,milk,snack,dairy,NA
C1328,1,0,0,0,0,0,0,0,0,0,0,0.09,5900,1,0,1,0,0,1,0,0,0,0,0,1,3.1622776601683795,1,5900,0,fermentedmilk,NA,NA,dairy,NA,NA
C1329,0,0,0,0.19,0,0,0.56,0,0,0.25,0,0.27,39911,3,0,1,0,0,0.75,0.25,0,0,0,0,3,1.8834598729898722,2,19955.5,0.7055299601716493,apple/sweetmelon,koreanpork,minorcereals,meat,snack,fruite
C1330,0.31,0,0.17,0.18,0,0,0.2,0,0.11,0.03,0,0.55,70880,11,0,0.11,0.89,0.28,0,0.34,0,0.38,0,0,10,1.1447053191578915,4,17720,0.38731795953192655,cheese/butter,bottledfoods,chilledlivestock,dairy,meat,fruite
C1331,0,0.02,0,0.1,0.11,0,0.38,0,0,0.38,0.01,0.55,47620,10,0,1,0,0,0,0,0.11,0,0,0.89,9,1.5552212679566928,5,9524,0.4846461264482901,snacks,banana/importedfruits,chilledagriculturalproducts,snack,meat,house_prod
C1332,0,0,0,0.48,0,0,0,0,0.17,0.27,0.09,0.36,48080,5,0,1,0,0,0,0.21,0.79,0,0,0,4,1.6366345279293668,2,24040,0.8259383700381969,mandarinorange/watermelonandotherfruits,beans,minorcereals,fruite,snack,seafood
C1333,0.05,0.04,0.01,0.03,0.15,0,0,0.03,0.23,0.45,0.01,0.82,120770,19,0.03,0.38,0.59,0,0.39,0,0.52,0.04,0,0.04,15,1.4535653107005755,10,12077,1.4391707368836006,otherlivefish,chilledseafood,milk,snack,seafood,house_prod
C1334,0,0,0,0,1,0,0,0,0,0,0,0.09,14290,2,0.64,0.36,0,0,0,0,0.64,0.36,0,0,1,3.1622776601683795,2,7145,0.404767912533657,kitchen/housedetergents,NA,NA,house_prod,NA,NA
C1335,0,0,0.47,0.04,0,0,0,0,0.38,0.1,0,0.36,23110,6,0,1,0,0.65,0,0.35,0,0,0,0,6,1.782874850856938,2,11555,0.41918489408289494,bottledfoods,candy-gum,fruitvegetables,fastfood,seafood,snack
C1336,0,0.1,0.51,0.22,0,0,0,0,0,0.06,0.11,0.45,27440,9,0.15,0.78,0.07,0.15,0,0,0,0.85,0,0,8,1.6394318935505054,5,5488,1.6448230720404302,otherbeverages,banana/importedfruits,candy-gum,fastfood,fruite,vegetable
C1338,0.19,0,0.22,0,0,0,0,0.2,0.25,0.06,0.07,0.55,13630,7,0,1,0,0,0.36,0,0,0.2,0.44,0,7,1.0941611722810005,3,4543.333333333333,0.3619089264011436,bottledfoods,chilledseafood,cooky/cakes,seafood,fastfood,sauce
